"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LFPR","65MORE","PC_AGE","A","1985",5.07453504871193,
"AUS","LFPR","65MORE","PC_AGE","A","1986",5.04969494335359,
"AUS","LFPR","65MORE","PC_AGE","A","1987",5.24905764186092,
"AUS","LFPR","65MORE","PC_AGE","A","1988",5.40393422908086,
"AUS","LFPR","65MORE","PC_AGE","A","1989",5.16092310796855,
"AUS","LFPR","65MORE","PC_AGE","A","1990",5.30599118664822,
"AUS","LFPR","65MORE","PC_AGE","A","1991",5.25238957470464,
"AUS","LFPR","65MORE","PC_AGE","A","1992",5.21299766820398,
"AUS","LFPR","65MORE","PC_AGE","A","1993",4.7542213573423,
"AUS","LFPR","65MORE","PC_AGE","A","1994",5.30006857126827,
"AUS","LFPR","65MORE","PC_AGE","A","1995",5.56048145434105,
"AUS","LFPR","65MORE","PC_AGE","A","1996",5.58084099485594,
"AUS","LFPR","65MORE","PC_AGE","A","1997",5.91305217073402,
"AUS","LFPR","65MORE","PC_AGE","A","1998",5.96455760478333,
"AUS","LFPR","65MORE","PC_AGE","A","1999",5.79402199938685,
"AUS","LFPR","65MORE","PC_AGE","A","2000",6.0752050717459,
"AUS","LFPR","65MORE","PC_AGE","A","2001",6.15922822344588,
"AUS","LFPR","65MORE","PC_AGE","A","2002",6.44476013296612,
"AUS","LFPR","65MORE","PC_AGE","A","2003",6.33410925725887,
"AUS","LFPR","65MORE","PC_AGE","A","2004",6.55785149742259,
"AUS","LFPR","65MORE","PC_AGE","A","2005",7.4164457015076,
"AUS","LFPR","65MORE","PC_AGE","A","2006",7.85716980240334,
"AUS","LFPR","65MORE","PC_AGE","A","2007",8.85734594721368,
"AUS","LFPR","65MORE","PC_AGE","A","2008",9.39062505242508,
"AUS","LFPR","65MORE","PC_AGE","A","2009",10.2331149479055,
"AUS","LFPR","65MORE","PC_AGE","A","2010",10.7930650665105,
"AUS","LFPR","65MORE","PC_AGE","A","2011",11.1876006129703,
"AUS","LFPR","65MORE","PC_AGE","A","2012",11.9898466562591,
"AUS","LFPR","65MORE","PC_AGE","A","2013",12.1070131881804,
"AUS","LFPR","65MORE","PC_AGE","A","2014",12.3685586784591,
"AUS","LFPR","65MORE","PC_AGE","A","2015",12.259086418966,
"AUS","LFPR","65MORE","PC_AGE","A","2016",12.6341153272037,
"AUS","LFPR","65MORE","PC_AGE","A","2017",13.0026387006862,
"AUS","LFPR","65MORE","PC_AGE","A","2018",13.9823460561685,
"AUS","LFPR","65MORE","PC_AGE","A","2019",14.7328381781305,
"AUS","LFPR","65MORE","PC_AGE","A","2020",14.1806151907213,
"AUS","LFPR","65MORE","PC_AGE","A","2021",15.0132745652307,
"AUS","LFPR","65MORE","PC_AGE","A","2022",15.0036055525509,
"AUT","LFPR","15_24","PC_AGE","A","1994",62.2517296681748,
"AUT","LFPR","15_24","PC_AGE","A","1995",60.334313001411,
"AUT","LFPR","15_24","PC_AGE","A","1996",59.3021704786557,
"AUT","LFPR","15_24","PC_AGE","A","1997",58.3498100312827,
"AUT","LFPR","15_24","PC_AGE","A","1998",57.1074843191214,
"AUT","LFPR","15_24","PC_AGE","A","1999",56.6722324333186,
"AUT","LFPR","15_24","PC_AGE","A","2000",55.6692792808337,
"AUT","LFPR","15_24","PC_AGE","A","2001",54.7218806696532,
"AUT","LFPR","15_24","PC_AGE","A","2002",55.1677201478134,
"AUT","LFPR","15_24","PC_AGE","A","2003",55.0071875537474,
"AUT","LFPR","15_24","PC_AGE","A","2004",56.705132580991,
"AUT","LFPR","15_24","PC_AGE","A","2005",58.0022993939128,
"AUT","LFPR","15_24","PC_AGE","A","2006",57.9282640741089,
"AUT","LFPR","15_24","PC_AGE","A","2007",59.4207536648317,
"AUT","LFPR","15_24","PC_AGE","A","2008",59.5161385676758,
"AUT","LFPR","15_24","PC_AGE","A","2009",59.501433133355,
"AUT","LFPR","15_24","PC_AGE","A","2010",58.2760937682533,
"AUT","LFPR","15_24","PC_AGE","A","2011",59.1957840909464,
"AUT","LFPR","15_24","PC_AGE","A","2012",59.2401176435117,
"AUT","LFPR","15_24","PC_AGE","A","2013",58.7750016945847,
"AUT","LFPR","15_24","PC_AGE","A","2014",58.0279204041611,
"AUT","LFPR","15_24","PC_AGE","A","2015",57.4278198497752,
"AUT","LFPR","15_24","PC_AGE","A","2016",57.46733388905,
"AUT","LFPR","15_24","PC_AGE","A","2017",56.0861483487348,
"AUT","LFPR","15_24","PC_AGE","A","2018",56.6527511115056,
"AUT","LFPR","15_24","PC_AGE","A","2019",56.4183868746808,
"AUT","LFPR","15_24","PC_AGE","A","2020",56.1292313684795,
"AUT","LFPR","15_24","PC_AGE","A","2021",56.3239560696432,
"AUT","LFPR","15_24","PC_AGE","A","2022",57.3581176366079,
"AUT","LFPR","55_64","PC_AGE","A","1994",29.4114147856835,
"AUT","LFPR","55_64","PC_AGE","A","1995",31.4222766714091,
"AUT","LFPR","55_64","PC_AGE","A","1996",30.4506233889146,
"AUT","LFPR","55_64","PC_AGE","A","1997",29.7924710767055,
"AUT","LFPR","55_64","PC_AGE","A","1998",30.4636844491811,
"AUT","LFPR","55_64","PC_AGE","A","1999",31.2585658269274,
"AUT","LFPR","55_64","PC_AGE","A","2000",29.8207121294131,
"AUT","LFPR","55_64","PC_AGE","A","2001",29.6804583293655,
"AUT","LFPR","55_64","PC_AGE","A","2002",30.9266175246777,
"AUT","LFPR","55_64","PC_AGE","A","2003",32.0058603737713,
"AUT","LFPR","55_64","PC_AGE","A","2004",28.3375572188934,
"AUT","LFPR","55_64","PC_AGE","A","2005",31.1526378610739,
"AUT","LFPR","55_64","PC_AGE","A","2006",34.3457536236362,
"AUT","LFPR","55_64","PC_AGE","A","2007",37.2385935972803,
"AUT","LFPR","55_64","PC_AGE","A","2008",39.6826995411841,
"AUT","LFPR","55_64","PC_AGE","A","2009",40.524853475205,
"AUT","LFPR","55_64","PC_AGE","A","2010",42.2353904994656,
"AUT","LFPR","55_64","PC_AGE","A","2011",41.433355066755,
"AUT","LFPR","55_64","PC_AGE","A","2012",43.1018710155281,
"AUT","LFPR","55_64","PC_AGE","A","2013",45.4702333897565,
"AUT","LFPR","55_64","PC_AGE","A","2014",46.8878907418686,
"AUT","LFPR","55_64","PC_AGE","A","2015",48.5726910951549,
"AUT","LFPR","55_64","PC_AGE","A","2016",51.7423197700934,
"AUT","LFPR","55_64","PC_AGE","A","2017",53.5662065037257,
"AUT","LFPR","55_64","PC_AGE","A","2018",56.1562734646485,
"AUT","LFPR","55_64","PC_AGE","A","2019",56.3740955628365,
"AUT","LFPR","55_64","PC_AGE","A","2020",57.0272538541964,
"AUT","LFPR","55_64","PC_AGE","A","2021",58.4344137546305,
"AUT","LFPR","55_64","PC_AGE","A","2022",58.5633342206335,
"AUT","LFPR","65MORE","PC_AGE","A","1994",4.03676379123969,
"AUT","LFPR","65MORE","PC_AGE","A","1995",3.58224712643179,
"AUT","LFPR","65MORE","PC_AGE","A","1996",3.01049712814418,
"AUT","LFPR","65MORE","PC_AGE","A","1997",3.07032964212849,
"AUT","LFPR","65MORE","PC_AGE","A","1998",2.95466630366812,
"AUT","LFPR","65MORE","PC_AGE","A","1999",2.53993413886781,
"AUT","LFPR","65MORE","PC_AGE","A","2000",2.70526322016752,
"AUT","LFPR","65MORE","PC_AGE","A","2001",3.33982631961963,
"AUT","LFPR","65MORE","PC_AGE","A","2002",2.5512512559136,
"AUT","LFPR","65MORE","PC_AGE","A","2003",2.48279908703802,
"AUT","LFPR","65MORE","PC_AGE","A","2004",2.07867733368963,
"AUT","LFPR","65MORE","PC_AGE","A","2005",2.86592282853649,
"AUT","LFPR","65MORE","PC_AGE","A","2006",3.31875429236792,
"AUT","LFPR","65MORE","PC_AGE","A","2007",4.45400271344461,
"AUT","LFPR","65MORE","PC_AGE","A","2008",4.77158287613925,
"AUT","LFPR","65MORE","PC_AGE","A","2009",5.23147680878204,
"AUT","LFPR","65MORE","PC_AGE","A","2010",5.16136228601398,
"AUT","LFPR","65MORE","PC_AGE","A","2011",4.96683794100106,
"AUT","LFPR","65MORE","PC_AGE","A","2012",4.94214348883257,
"AUT","LFPR","65MORE","PC_AGE","A","2013",5.08246151846603,
"AUT","LFPR","65MORE","PC_AGE","A","2014",5.25909452555044,
"AUT","LFPR","65MORE","PC_AGE","A","2015",5.30909251661915,
"AUT","LFPR","65MORE","PC_AGE","A","2016",5.04233757150395,
"AUT","LFPR","65MORE","PC_AGE","A","2017",4.84050027481609,
"AUT","LFPR","65MORE","PC_AGE","A","2018",4.94130389095021,
"AUT","LFPR","65MORE","PC_AGE","A","2019",4.66252780314543,
"AUT","LFPR","65MORE","PC_AGE","A","2020",4.47927166618045,
"AUT","LFPR","65MORE","PC_AGE","A","2021",4.51492018566728,
"AUT","LFPR","65MORE","PC_AGE","A","2022",5.09428385647573,
"BEL","LFPR","15_24","PC_AGE","A","1983",43.8691396187532,
"BEL","LFPR","15_24","PC_AGE","A","1984",42.2426637299993,
"BEL","LFPR","15_24","PC_AGE","A","1985",42.3289956623289,
"BEL","LFPR","15_24","PC_AGE","A","1986",42.7176621102956,
"BEL","LFPR","15_24","PC_AGE","A","1987",41.508402787266,
"BEL","LFPR","15_24","PC_AGE","A","1988",37.6718480138169,
"BEL","LFPR","15_24","PC_AGE","A","1989",35.9952072173667,
"BEL","LFPR","15_24","PC_AGE","A","1990",35.5434387495456,
"BEL","LFPR","15_24","PC_AGE","A","1991",36.4842701654987,
"BEL","LFPR","15_24","PC_AGE","A","1992",36.2129012719563,
"BEL","LFPR","15_24","PC_AGE","A","1993",34.4142900950628,
"BEL","LFPR","15_24","PC_AGE","A","1994",35.193091137111,
"BEL","LFPR","15_24","PC_AGE","A","1995",33.8787793443206,
"BEL","LFPR","15_24","PC_AGE","A","1996",32.766167634687,
"BEL","LFPR","15_24","PC_AGE","A","1997",32.0325802952338,
"BEL","LFPR","15_24","PC_AGE","A","1998",32.6340170405984,
"BEL","LFPR","15_24","PC_AGE","A","1999",32.8697935110728,
"BEL","LFPR","15_24","PC_AGE","A","2000",35.3055767009506,
"BEL","LFPR","15_24","PC_AGE","A","2001",35.7351272859902,
"BEL","LFPR","15_24","PC_AGE","A","2002",35.7041432412901,
"BEL","LFPR","15_24","PC_AGE","A","2003",34.985198443827,
"BEL","LFPR","15_24","PC_AGE","A","2004",35.2634794631032,
"BEL","LFPR","15_24","PC_AGE","A","2005",35.0161280460527,
"BEL","LFPR","15_24","PC_AGE","A","2006",34.6952751980609,
"BEL","LFPR","15_24","PC_AGE","A","2007",33.866496810134,
"BEL","LFPR","15_24","PC_AGE","A","2008",33.402883744365,
"BEL","LFPR","15_24","PC_AGE","A","2009",32.4429176662939,
"BEL","LFPR","15_24","PC_AGE","A","2010",32.5097197641771,
"BEL","LFPR","15_24","PC_AGE","A","2011",31.9822572033064,
"BEL","LFPR","15_24","PC_AGE","A","2012",31.4789618817382,
"BEL","LFPR","15_24","PC_AGE","A","2013",30.9886560194251,
"BEL","LFPR","15_24","PC_AGE","A","2014",30.1949205093439,
"BEL","LFPR","15_24","PC_AGE","A","2015",30.0023674012523,
"BEL","LFPR","15_24","PC_AGE","A","2016",28.4582338337131,
"BEL","LFPR","15_24","PC_AGE","A","2017",28.0810457482011,
"BEL","LFPR","15_24","PC_AGE","A","2018",29.6259766952505,
"BEL","LFPR","15_24","PC_AGE","A","2019",30.9826643807168,
"BEL","LFPR","15_24","PC_AGE","A","2020",28.4313840807152,
"BEL","LFPR","15_24","PC_AGE","A","2021",30.258236747263,
"BEL","LFPR","15_24","PC_AGE","A","2022",31.0630689747676,
"BEL","LFPR","55_64","PC_AGE","A","1983",30.6118494555827,
"BEL","LFPR","55_64","PC_AGE","A","1984",28.7713125349897,
"BEL","LFPR","55_64","PC_AGE","A","1985",27.3058039256294,
"BEL","LFPR","55_64","PC_AGE","A","1986",25.6279963011097,
"BEL","LFPR","55_64","PC_AGE","A","1987",22.7681722135043,
"BEL","LFPR","55_64","PC_AGE","A","1988",22.8038304719998,
"BEL","LFPR","55_64","PC_AGE","A","1989",23.4977459485817,
"BEL","LFPR","55_64","PC_AGE","A","1990",22.1844908506688,
"BEL","LFPR","55_64","PC_AGE","A","1991",22.2160340331925,
"BEL","LFPR","55_64","PC_AGE","A","1992",23.0576451806378,
"BEL","LFPR","55_64","PC_AGE","A","1993",22.67390099621,
"BEL","LFPR","55_64","PC_AGE","A","1994",23.5204175089051,
"BEL","LFPR","55_64","PC_AGE","A","1995",24.24431163189,
"BEL","LFPR","55_64","PC_AGE","A","1996",22.8132882673922,
"BEL","LFPR","55_64","PC_AGE","A","1997",23.119741870195,
"BEL","LFPR","55_64","PC_AGE","A","1998",23.7945863184108,
"BEL","LFPR","55_64","PC_AGE","A","1999",26.1673842860251,
"BEL","LFPR","55_64","PC_AGE","A","2000",27.1137893818665,
"BEL","LFPR","55_64","PC_AGE","A","2001",25.9072718954991,
"BEL","LFPR","55_64","PC_AGE","A","2002",27.6860880515281,
"BEL","LFPR","55_64","PC_AGE","A","2003",28.8993989237277,
"BEL","LFPR","55_64","PC_AGE","A","2004",31.1562329699712,
"BEL","LFPR","55_64","PC_AGE","A","2005",33.2792998766407,
"BEL","LFPR","55_64","PC_AGE","A","2006",33.5920935974902,
"BEL","LFPR","55_64","PC_AGE","A","2007",35.8862763294494,
"BEL","LFPR","55_64","PC_AGE","A","2008",36.0861479184925,
"BEL","LFPR","55_64","PC_AGE","A","2009",37.1517646702735,
"BEL","LFPR","55_64","PC_AGE","A","2010",39.1508357425339,
"BEL","LFPR","55_64","PC_AGE","A","2011",40.3295464998479,
"BEL","LFPR","55_64","PC_AGE","A","2012",41.3501934522201,
"BEL","LFPR","55_64","PC_AGE","A","2013",44.097758004274,
"BEL","LFPR","55_64","PC_AGE","A","2014",45.0703466183428,
"BEL","LFPR","55_64","PC_AGE","A","2015",46.6392216415826,
"BEL","LFPR","55_64","PC_AGE","A","2016",48.1455838005433,
"BEL","LFPR","55_64","PC_AGE","A","2017",51.2638091718458,
"BEL","LFPR","55_64","PC_AGE","A","2018",52.6100955518433,
"BEL","LFPR","55_64","PC_AGE","A","2019",54.3182558175008,
"BEL","LFPR","55_64","PC_AGE","A","2020",55.6297796110639,
"BEL","LFPR","55_64","PC_AGE","A","2021",57.1089032506983,
"BEL","LFPR","55_64","PC_AGE","A","2022",58.8041258413882,
"BEL","LFPR","65MORE","PC_AGE","A","2000",1.47633084435954,
"BEL","LFPR","65MORE","PC_AGE","A","2001",1.31763057320879,
"BEL","LFPR","65MORE","PC_AGE","A","2002",1.29546415491404,
"BEL","LFPR","65MORE","PC_AGE","A","2003",1.34858091244435,
"BEL","LFPR","65MORE","PC_AGE","A","2004",1.4244934716299,
"BEL","LFPR","65MORE","PC_AGE","A","2005",2.02417067010104,
"BEL","LFPR","65MORE","PC_AGE","A","2006",1.73129102987992,
"BEL","LFPR","65MORE","PC_AGE","A","2007",1.78847438018414,
"BEL","LFPR","65MORE","PC_AGE","A","2008",1.78293859195067,
"BEL","LFPR","65MORE","PC_AGE","A","2009",1.70390373060785,
"BEL","LFPR","65MORE","PC_AGE","A","2010",2.05040264777271,
"BEL","LFPR","65MORE","PC_AGE","A","2011",2.0493722199946,
"BEL","LFPR","65MORE","PC_AGE","A","2012",2.33718959441247,
"BEL","LFPR","65MORE","PC_AGE","A","2013",2.33457929279822,
"BEL","LFPR","65MORE","PC_AGE","A","2014",2.30386899424683,
"BEL","LFPR","65MORE","PC_AGE","A","2015",2.57656355214537,
"BEL","LFPR","65MORE","PC_AGE","A","2016",2.24331439234204,
"BEL","LFPR","65MORE","PC_AGE","A","2017",2.5497007729745,
"BEL","LFPR","65MORE","PC_AGE","A","2018",2.76103116744334,
"BEL","LFPR","65MORE","PC_AGE","A","2019",2.98781657744987,
"BEL","LFPR","65MORE","PC_AGE","A","2020",2.93797671075929,
"BEL","LFPR","65MORE","PC_AGE","A","2021",2.79853474156534,
"BEL","LFPR","65MORE","PC_AGE","A","2022",3.21143838069733,
"CAN","LFPR","15_24","PC_AGE","A","1976",63.5534568660964,
"CAN","LFPR","15_24","PC_AGE","A","1977",64.623448920585,
"CAN","LFPR","15_24","PC_AGE","A","1978",65.6227917919271,
"CAN","LFPR","15_24","PC_AGE","A","1979",67.436281676874,
"CAN","LFPR","15_24","PC_AGE","A","1980",68.5611328554016,
"CAN","LFPR","15_24","PC_AGE","A","1981",69.2536363917364,
"CAN","LFPR","15_24","PC_AGE","A","1982",67.3163137022037,
"CAN","LFPR","15_24","PC_AGE","A","1983",67.6079602089386,
"CAN","LFPR","15_24","PC_AGE","A","1984",67.9668822259429,
"CAN","LFPR","15_24","PC_AGE","A","1985",68.6056756068707,
"CAN","LFPR","15_24","PC_AGE","A","1986",69.7417222396244,
"CAN","LFPR","15_24","PC_AGE","A","1987",70.3094631884119,
"CAN","LFPR","15_24","PC_AGE","A","1988",70.5922573211046,
"CAN","LFPR","15_24","PC_AGE","A","1989",71.1671518557651,
"CAN","LFPR","15_24","PC_AGE","A","1990",69.9169373396248,
"CAN","LFPR","15_24","PC_AGE","A","1991",68.1242293024067,
"CAN","LFPR","15_24","PC_AGE","A","1992",66.158638065472,
"CAN","LFPR","15_24","PC_AGE","A","1993",64.4319150949916,
"CAN","LFPR","15_24","PC_AGE","A","1994",63.9221142916244,
"CAN","LFPR","15_24","PC_AGE","A","1995",63.1618102535274,
"CAN","LFPR","15_24","PC_AGE","A","1996",62.242760490466,
"CAN","LFPR","15_24","PC_AGE","A","1997",61.467446817805,
"CAN","LFPR","15_24","PC_AGE","A","1998",61.813381921371,
"CAN","LFPR","15_24","PC_AGE","A","1999",63.4631177353528,
"CAN","LFPR","15_24","PC_AGE","A","2000",64.3919473218838,
"CAN","LFPR","15_24","PC_AGE","A","2001",64.6638988286252,
"CAN","LFPR","15_24","PC_AGE","A","2002",66.5264830492936,
"CAN","LFPR","15_24","PC_AGE","A","2003",67.335269491338,
"CAN","LFPR","15_24","PC_AGE","A","2004",66.8473417990691,
"CAN","LFPR","15_24","PC_AGE","A","2005",65.8679566201704,
"CAN","LFPR","15_24","PC_AGE","A","2006",67.1474580170232,
"CAN","LFPR","15_24","PC_AGE","A","2007",67.983918863356,
"CAN","LFPR","15_24","PC_AGE","A","2008",68.2662609011627,
"CAN","LFPR","15_24","PC_AGE","A","2009",66.4270536642705,
