학교명,관할구군청,주소,우편번호,전화번호,팩스번호
대구달성초등학교,서구,대구광역시 서구 고성로 127,41728,053-233-0293,053-351-2245
대구달서초등학교,서구,대구광역시 서구 국채보상로34길 35,41836,053-233-1900,053-566-2289
대구내서초등학교,서구,대구광역시 서구 달구벌대로371길 35,41867,053-233-2831,053-565-5803
대구경운초등학교,서구,대구광역시 서구 평리로54길 16,41850,053-233-1703,053-556-3669
서대구초등학교,서구,대구광역시 서구 서대구로63길 28-13,41710,053-233-1650,053-356-3268
대구평리초등학교,서구,대구광역시 서구 국채보상로53길 6-5,41775,053-233-1263,053-565-2504
대구중리초등학교,서구,대구광역시 서구 국채보상로 135,41759,053-233-0755,053-564-7966
대구인지초등학교,서구,대구광역시 서구 서대구로66길 20,41719,053-233-0575,053-357-0003
대구이현초등학교,서구,대구광역시 서구 국채보상로37길 35,41764,053-233-1601,053-562-8681
대구옥산초등학교,북구,대구광역시 북구 칠성시장로23길 55,41578,053-233-1090,053-427-8214
대구조야초등학교,북구,대구광역시 북구 조야로8길 16,41478,053-233-2413,053-943-3090
대구칠곡초등학교,북구,대구광역시 북구 칠곡중앙대로110길 5,41433,053-233-2100,053-322-5623
대구칠성초등학교,북구,대구광역시 북구 침산남로32길 17,41584,053-233-0385,053-356-1488
대구침산초등학교,북구,대구광역시 북구 성북로 25,41547,053-233-1005,053-356-2560
대구태암초등학교,북구,대구광역시 북구 칠곡중앙대로52길 56,41466,053-233-3583,053-311-8076
대구태전초등학교,북구,대구광역시 북구 칠곡중앙대로75길 16,41451,053-233-3001,053-324-3020
대구태현초등학교,북구,대구광역시 북구 태전로 95,41454,053-233-3283,053-311-0545
대구팔달초등학교,북구,대구광역시 북구 매천로2길 19-6,41489,053-233-3565,053-312-0309
북대구초등학교,북구,대구광역시 북구 동북로37길 68,41517,053-233-2467,053-383-7757
대구학남초등학교,북구,대구광역시 북구 학정동로 23,41420,053-233-3995,053-326-5810
대구운암초등학교,북구,대구광역시 북구 대천로 148,41429,053-233-4174,053-326-6086
대구함지초등학교,북구,대구광역시 북구 동천로 33,41430,053-233-4505,053-327-1066
대구동변초등학교,북구,대구광역시 북구 동변로 60,41414,053-233-4224,053-958-8606
대구서변초등학교,북구,대구광역시 북구 호국로43길 35,41477,053-233-4400,053-956-5534
대구학정초등학교,북구,대구광역시 북구 학남로 32,41417,053-233-4546,053-322-5590
대구관문초등학교,북구,대구광역시 북구 매전로 32,41487,053-233-4700,053-326-9850
대구사수초등학교,북구,대구광역시 북구 내곡로 124,41492,053-233-4804,053-233-4824
대구삼영초등학교,북구,대구광역시 북구 내곡로 63,41493,053-233-4914,053-327-2555
대구강북초등학교,북구,대구광역시 북구 구암서로 50,41425,053-233-3655,053-322-2894
대구경진초등학교,북구,대구광역시 북구 경진로12길 5,41565,053-233-2668,053-943-0551
대구관남초등학교,북구,대구광역시 북구 칠곡중앙대로91길 10,41443,053-233-3850,053-325-5205
대구관음초등학교,북구,대구광역시 북구 관음동로17길 16,41444,053-233-2892,053-324-7198
대구관천초등학교,북구,대구광역시 북구 구암로22길 17,41460,053-233-3042,053-324-0652
대구교동초등학교,북구,대구광역시 북구 관음중앙로34길 4,41442,053-233-3363,053-323-7394
대구구암초등학교,북구,대구광역시 북구 학정로 245,41464,053-233-3180,053-324-3413
대구달산초등학교,북구,대구광역시 북구 옥산로17길 37,41590,053-233-2601,053-356-6572
대구대산초등학교,북구,대구광역시 북구 신천동로 900,41539,053-233-2300,053-944-0307
대구대천초등학교,북구,대구광역시 북구 구암로21길 54,41437,053-233-3439,053-324-8165
대구도남초등학교,북구,대구광역시 북구 구리로 202,41418,053-233-2205,053-326-2330
대구동평초등학교,북구,대구광역시 북구 동천로 84,41427,053-233-3865,053-326-7120
대구매천초등학교,북구,대구광역시 북구 매천로 179,41485,053-233-2134,053-314-5369
대구문성초등학교,북구,대구광역시 북구 복현로 180,41522,053-233-0804,053-381-4980
대구복현초등학교,북구,대구광역시 북구 공항로 58,41527,053-233-1804,053-942-5701
대구북부초등학교,북구,대구광역시 북구 동천로 20,41431,053-233-3096,053-326-6905
대구산격초등학교,북구,대구광역시 북구 산격로10길 14,41544,053-233-1181,053-943-3913
대구성북초등학교,북구,대구광역시 북구 호국로57길 42,41474,053-233-1101,053-951-2125
대구신암초등학교,북구,대구광역시 북구 경대로 21,41569,053-233-0674,053-951-9566
대구연경초등학교,북구,대구광역시 북구 연경중앙로11길 19,41409,053-233-5001,053-233-5074
대구국우초등학교,북구,대구광역시 북구 도남중앙로10길 45,41408,053-233-8835,053-233-8839
대구영선초등학교,남구,대구광역시 남구 영선길 96,42423,053-234-0470,053-475-6053
대구봉덕초등학교,남구,대구광역시 남구 효성로 71,42506,053-234-0571,053-474-7355
대구성명초등학교,남구,대구광역시 남구 성당로30길 55,42461,053-234-0910,053-656-1413
대구대봉초등학교,남구,대구광역시 남구 대봉로26길 33,42436,053-234-0301,053-474-4418
대구대명초등학교,남구,대구광역시 남구 대명로 100,42485,053-234-0203,053-654-2144
대구대덕초등학교,남구,대구광역시 남구 대명서로 28,42500,053-234-1051,053-621-3214
대구남명초등학교,남구,대구광역시 남구 큰골4길 41,42453,053-234-1940,053-656-8554
대구남도초등학교,남구,대구광역시 남구 현충동길 74,42419,053-234-0882,053-652-3880
대구효명초등학교,남구,대구광역시 남구 앞산순환로 707,42514,053-234-1701,053-471-0355
남대구초등학교,남구,대구광역시 남구 중앙대로47길 55,42412,053-234-1711,053-624-1025
대구남덕초등학교,남구,대구광역시 남구 앞산순환로93길 33,42490,053-234-2365,053-651-9106
대구송현초등학교,달서구,대구광역시 달서구 송현로 128,42743,053-234-1481,053-621-4133
대구신당초등학교,달서구,대구광역시 달서구 서당로 14,42613,053-234-3030,053-234-3077
대구신서초등학교,달서구,대구광역시 달서구 계대동문로3길 46,42608,053-234-3820,053-586-4982
대구신흥초등학교,달서구,대구광역시 달서구 두류공원로 257,42647,053-234-0700,053-626-8003
대구와룡초등학교,달서구,대구광역시 달서구 선원남로 22,42611,053-234-3081,053-583-7810
대구용산초등학교,달서구,대구광역시 달서구 와룡로49길 80,42631,053-234-2123,053-564-3485
대구용전초등학교,달서구,대구광역시 달서구 용산로 260,42626,053-234-4074,053-522-0019
대구월곡초등학교,달서구,대구광역시 달서구 상인로 40,42813,053-234-2920,053-642-6298
대구월배초등학교,달서구,대구광역시 달서구 월배로 131,42784,053-234-1406,053-641-1627
대구월성초등학교,달서구,대구광역시 달서구 학산로7길 26,42731,053-234-2584,053-636-1770
대구월촌초등학교,달서구,대구광역시 달서구 상인서로 60,42807,053-234-2876,053-636-6350
대구이곡초등학교,달서구,대구광역시 달서구 선원남로 120,42619,053-234-3563,053-586-1366
대구장기초등학교,달서구,대구광역시 달서구 장기로 280,42686,053-234-4172,053-521-0140
대구장산초등학교,달서구,대구광역시 달서구 장산로 30,42630,053-234-3901,053-234-3904
대구죽전초등학교,달서구,대구광역시 달서구 죽전길 127,42638,053-234-1801,053-553-7979
대구진월초등학교,달서구,대구광역시 달서구 진천로4길 32,42800,053-234-2399,053-634-8484
대구진천초등학교,달서구,대구광역시 달서구 상화로9길 65,42770,053-234-1564,053-634-5028
대구파호초등학교,달서구,대구광역시 달서구 달서대로109안길 76,42707,053-234-4093,053-591-7034
대구학산초등학교,달서구,대구광역시 달서구 월성로 76,42726,053-234-2453,053-643-7734
효성초등학교,달서구,대구광역시 달서구 송현로 81,42748,053-720-5500,053-720-5555
대구장동초등학교,달서구,대구광역시 달서구 달구벌대로304길 112,42687,053-234-4505,053-234-4550
대구장성초등학교,달서구,대구광역시 달서구 달구벌대로 1429-11,42636,053-234-4563,053-234-4619
대구월서초등학교,달서구,대구광역시 달서구 월배로39길 46,42780,053-234-4706,053-643-6327
대구호산초등학교,달서구,대구광역시 달서구 달서대로109길 116,42709,053-234-4755,053-584-7510
대구유천초등학교,달서구,대구광역시 달서구 달서대로 39,42764,053-234-4873,053-636-1957
대구신월초등학교,달서구,대구광역시 달서구 조암남로 100,42755,053-234-5000,053-639-5720
대구조암초등학교,달서구,대구광역시 달서구 조암로5길 19,42758,053-234-5053,053-639-6478
대구용천초등학교,달서구,대구광역시 달서구 조암남로32길 55,42761,053-234-5630,053-643-7803
대구월암초등학교,달서구,대구광역시 달서구 조암로6길 55,42751,053-234-5200,053-637-5199
대구한샘초등학교,달서구,대구광역시 달서구 월배로11길 42,42760,053-234-5245,053-637-2507
대구한솔초등학교,달서구,대구광역시 달서구 조암남로 172-13,42761,053-234-5500,053-634-3494
대구감삼초등학교,달서구,대구광역시 달서구 당산로 123,42651,053-234-2000,053-567-1329
대구감천초등학교,달서구,대구광역시 달서구 구마로12길 60,42728,053-234-2730,053-636-2032
대구남부초등학교,달서구,대구광역시 달서구 야외음악당로 15길,42656,053-234-1006,053-651-7439
대구남송초등학교,달서구,대구광역시 달서구 송현로 192,42735,053-234-2203,053-654-5332
대구내당초등학교,달서구,대구광역시 달서구 명덕로 22-9,42662,053-234-0401,053-626-8153
대구노전초등학교,달서구,대구광역시 달서구 한실로 43,42827,053-234-3370,053-636-8691
대구대곡초등학교,달서구,대구광역시 달서구 도원남로 60,42830,053-234-3204,053-634-2393
대구대남초등학교,달서구,대구광역시 달서구 월배로68길 91,42823,053-234-2113,053-625-3315
대구대서초등학교,달서구,대구광역시 달서구 송현로 9,42803,053-234-2500,053-636-0313
대구대진초등학교,달서구,대구광역시 달서구 상화로 70,42826,053-234-4264,053-644-7023
대구한실초등학교,달서구,대구광역시 달서구 한실로6길 108,42829,053-234-5890,053-641-5890
대구덕인초등학교,달서구,대구광역시 달서구 대명천로43길 66,42694,053-234-2274,053-557-9781
대구도원초등학교,달서구,대구광역시 달서구 도원남로 100-30,42836,053-234-3540,053-639-0767
대구본리초등학교,달서구,대구광역시 달서구 장기로 198,42658,053-234-1203,053-567-2113
대구상원초등학교,달서구,대구광역시 달서구 월곡로20길 15,42840,053-234-3018,053-634-8431
대구상인초등학교,달서구,대구광역시 달서구 월곡로 211,42793,053-234-1300,053-641-4465
대구선원초등학교,달서구,대구광역시 달서구 선원로33길 105,42606,053-234-3650,053-586-3714
대구성곡초등학교,달서구,대구광역시 달서구 선원남로 127,42615,053-234-4400,053-587-0136
대구성남초등학교,달서구,대구광역시 달서구 성당로47길 35,42668,053-234-0741,053-651-2818
대구성당초등학교,달서구,대구광역시 달서구 대명천로 118,42677,053-234-1904,053-627-7885
대구성산초등학교,달서구,대구광역시 달서구 선원남로 173,42616,053-234-3725,053-586-5962
대구성서초등학교,달서구,대구광역시 달서구 달구벌대로 1339,42620,053-234-1120,053-586-0684
대구성지초등학교,달서구,대구광역시 달서구 새동네로 27,42622,053-234-3275,053-586-5357
대구송일초등학교,달서구,대구광역시 달서구 학산로2길 38,42750,053-234-2640,053-638-9205
대구남동초등학교,달성군,대구광역시 달성군 논공읍 논공로 258,42985,053-235-1210,053-615-6234
대구다사초등학교,달성군,대구광역시 달성군 다사읍 다사로 86,42909,053-235-0805,053-591-1045
대구동곡초등학교,달성군,대구광역시 달성군 하빈면 달구벌대로55길 104-4,42903,053-720-2883,053-720-2899
대구반송초등학교,달성군,대구광역시 달성군 옥포면 용연사길 5,42977,053-235-0392,053-616-3599
대구북동초등학교,달성군,대구광역시 달성군 논공읍 논공로11길 18,42978,053-235-0493,053-616-4819
대구서재초등학교,달성군,대구광역시 달성군 다사읍 서재로 100,42927,053-235-0902,053-585-5804
대구옥포초등학교,달성군,대구광역시 달성군 옥포면 비슬로 2220,42970,053-235-0303,053-614-1869
대구용계초등학교,달성군,대구광역시 달성군 가창면 가창로221길 1,42933,053-235-1055,053-767-4990
대구유가초등학교,달성군,대구광역시 달성군 유가면 테크노대로5길 34,43019,053-235-2578,053-615-0580
대구하빈초등학교,달성군,대구광역시 달성군 하빈면 하빈로 391-1,42902,053-235-1000,053-582-7859
대구현풍초등학교,달성군,대구광역시 달성군 현풍면 비슬로134길 167-6,42997,053-235-0584,053-614-9198
대구화남초등학교,달성군,대구광역시 달성군 화원읍 명천로 181,42960,053-235-1272,053-639-2015
대구가창초등학교,달성군,대구광역시 달성군 가창면 가창로 640,42938,053-235-1130,053-767-0330
대구구지초등학교,달성군,대구광역시 달성군 구지면 창리로11길 45-11,43010,053-235-0702,053-614-0680
대구세현초등학교,달성군,대구광역시 달성군 구지면 국가산단대로66길 10,43008,053-233-5500,053-624-5371
대구서동초등학교,달성군,대구광역시 달성군 다사읍 서재로7길 55,42929,053-233-5770,053-584-9864
대구포산초등학교,달성군,대구광역시 달성군 현풍면 테크노북로 80,42995,053-233-5568,053-611-4284
대구강림초등학교,달성군,대구광역시 달성군 옥포면 돌미로 15,42974,053-235-2200,053-235-2184
대구비슬초등학교,달성군,대구광역시 달성군 유가면 테크노북로 144,43015,053-235-2405,053-614-6531
대구세천초등학교,달성군,대구광역시 달성군 다사읍 세천로 182-9,42930,053-235-2473,053-584-7933
대구대실초등학교,달성군,대구광역시 달성군 다사읍 대실역남로1길 31,42919,053-235-2274,053-583-2352
대구매곡초등학교,달성군,대구광역시 달성군 다사읍 대실역북로3길 6,42912,053-235-1980,053-585-8369
대구왕선초등학교,달성군,대구광역시 달성군 다사읍 대실역북로 93,42914,053-235-1902,053-584-7672
대구화동초등학교,달성군,대구광역시 달성군 화원읍 성암로 38,42966,053-235-1772,053-643-7870
대구도림초등학교,달성군,대구광역시 달성군 다사읍 서재로26길 94,42925,053-235-1681,053-235-1687
대구논공초등학교,달성군,대구광역시 달성군 논공읍 논공로7길 41,42978,053-235-1703,053-235-1709
대구천내초등학교,달성군,대구광역시 달성군 화원읍 성천로 192,42950,053-235-1543,053-631-4025
대구명곡초등학교,달성군,대구광역시 달성군 화원읍 명곡로 40,42959,053-235-1464,053-638-8305
대구죽곡초등학교,달성군,대구광역시 달성군 다사읍 죽곡1길 18,42918,053-235-1360,053-592-1360
대구화원초등학교,달성군,대구광역시 달성군 화원읍 비슬로 2580,42955,053-235-0205,053-635-8857
대구금계초등학교,달성군,대구광역시 달성군 옥포면 금계길 55,42969,053-235-0343,053-614-1676
대구금포초등학교,달성군,대구광역시 달성군 논공읍 금포초등길 28,42974,053-235-0440,053-616-3775
경북대학교사범대학부설중학교,중구,대구광역시 중구 달구벌대로 2178,41950,053-232-8255,053-427-0678
신아중학교,동구,대구광역시 동구 아양로39길 30,41185,053-232-7130,053-959-4909
공산중학교,동구,대구광역시 동구 팔공로197길 26,41009,053-232-9040,053-984-9436
동촌중학교,동구,대구광역시 동구 동촌로 176,41159,053-232-6164,053-985-5035
불로중학교,동구,대구광역시 동구 방천로5길 8,41042,053-232-6572,053-983-9216
신기중학교,동구,대구광역시 동구 율하동로 88,41116,053-232-7313,053-964-2153
새론중학교,동구,대구광역시 동구 이노밸리로 255,41068,053-233-5801,053-964-6464
영신중학교,동구,대구광역시 동구 팔공로50길 32,41021,053-232-8500,053-981-9749
입석중학교,동구,대구광역시 동구 동촌로 10,41153,053-232-6940,053-985-0711
청구중학교,동구,대구광역시 동구 국채보상로 827,41262,053-232-8787,053-751-5727
강동중학교,동구,대구광역시 동구 동호로 112,41089,053-232-7615,053-965-7615
율원중학교,동구,대구광역시 동구 율하동로 20,41103,053-232-8200,053-965-9147
안심중학교,동구,대구광역시 동구 안심로 237,41117,053-232-6231,053-964-1233
대구팔공중학교,동구,대구광역시 동구 연경지묘로 150,41003,053-233-5190,053-981-8003
대구제일중학교,중구,대구광역시 중구 명륜로23길 16,41958,053-232-7777,053-425-4436
계성중학교,중구,대구광역시 중구 달성로 35,41927,053-232-8351,053-253-0929
경구중학교,중구,대구광역시 중구 남산로 20,41972,053-232-8900,053-255-3844
성명여자중학교,중구,대구광역시 중구 국채보상로102길 48,41931,053-254-1807~9,053-254-1806
경신중학교,수성구,대구광역시 수성구 달구벌대로504길 34,42093,053-760-0100,053-760-0169
능인중학교,수성구,대구광역시 수성구 무학로 207,42183,053-232-9121,053-768-5119
고산중학교,수성구,대구광역시 수성구 천을로 71,42261,053-232-7510,053-792-3599
지산중학교,수성구,대구광역시 수성구 지산로3길 68,42205,053-232-6633,053-782-6576
정화중학교,수성구,대구광역시 수성구 청호로84길 123,42083,053-292-9202,053-745-6310
오성중학교,수성구,대구광역시 수성구 달구벌대로522길 78,42083,053-232-8700,053-743-8730
신명여자중학교,수성구,대구광역시 수성구 신천동로 364,42129,053-232-9290,053-744-3705
시지중학교,수성구,대구광역시 수성구 신매로 66,42275,053-232-6830,053-791-4191
매호중학교,수성구,대구광역시 수성구 천을로 106,42268,053-232-7400,053-791-9840
수성중학교,수성구,대구광역시 수성구 파동로51길 26-9,42222,053-232-6316,053-768-6862
황금중학교,수성구,대구광역시 수성구 들안로32길 40,42148,053-232-7955,053-763-2469
소선여자중학교,수성구,대구광역시 수성구 교학로8길 37,42078,053-232-9502,053-753-7534
범물중학교,수성구,대구광역시 수성구 범안로4길 46,42243,053-232-6804,053-782-8435
범일중학교,수성구,대구광역시 수성구 지범로41길 23,42199,053-232-7870,053-784-9628
동원중학교,수성구,대구광역시 수성구 효행로2길 81,42064,053-232-6400,053-957-1451
동도중학교,수성구,대구광역시 수성구 청호로 350,42082,053-232-7270,053-745-6626
덕화중학교,수성구,대구광역시 수성구 들안로9길 36,42163,053-232-7786,053-768-3342
덕원중학교,수성구,대구광역시 수성구 욱수길 37,42288,053-232-8560,053-792-9341
대륜중학교,수성구,대구광역시 수성구 달구벌대로 2700,42071,053-232-8380,053-756-9603
대구중앙중학교,수성구,대구광역시 수성구 신천동로 496,42000,053-770-0000,053-770-0089
대구동중학교,수성구,대구광역시 수성구 수성로76길 33,42123,053-232-6000,053-756-8808
대구동부중학교,수성구,대구광역시 수성구 화랑로32길 74,42034,053-232-7045,053-741-0660
노변중학교,수성구,대구광역시 수성구 시지로 66,42251,053-232-8046,053-794-8040
평리중학교,서구,대구광역시 서구 국채보상로55길 21,41775,053-233-6170,053-521-3409
대평중학교,서구,대구광역시 서구 통학로 217,41739,053-233-7903,053-563-2306
중리중학교,서구,대구광역시 서구 국채보상로34길 63,41839,053-233-6250,053-556-1364
서남중학교,서구,대구광역시 서구 당산로41서길 97,41846,053-233-7800,053-555-1403
서대구중학교,서구,대구광역시 서구 북비산로45길 7,41737,053-233-7872,053-552-6020
경일중학교,서구,대구광역시 서구 달서천로76길 11,41734,053-233-6100,053-356-1870
경운중학교,서구,대구광역시 서구 서대구로3길 32,41853,053-233-6000,053-562-6994
경상여자중학교,서구,대구광역시 서구 국채보상로 384,41804,053-233-8510,053-571-2510
경명여자중학교,북구,대구광역시 북구 칠성로17길 18,41578,053-233-8453,053-426-0191
대구북중학교,북구,대구광역시 북구 공항로 50,41527,053-233-6330,053-952-2614
관천중학교,북구,대구광역시 북구 구암로22길 7,41460,053-233-6771,053-321-6749
교동중학교,북구,대구광역시 북구 관음중앙로32길 15,41442,053-233-6878,053-322-9638
대구일중학교,북구,대구광역시 북구 옥산로17길 21,41590,053-233-7500,053-233-7483
동평중학교,북구,대구광역시 북구 대천로 123,41428,053-233-7400,053-325-3987
복현중학교,북구,대구광역시 북구 동북로65길 28,41528,053-233-6670,053-943-4845
산격중학교,북구,대구광역시 북구 동북로 31길,41502,053-233-7100,053-383-7110
성광중학교,북구,대구광역시 북구 검단로 150,41521,053-233-8355,053-384-0510
성화중학교,북구,대구광역시 북구 복현로 140,41522,053-233-8600,053-383-2473
운암중학교,북구,대구광역시 북구 구암로49길 9,41432,053-233-6983,053-321-0974
칠곡중학교,북구,대구광역시 북구 칠곡중앙대로 583,41403,053-233-6480,053-322-8313
침산중학교,북구,대구광역시 북구 침산남로 121,41559,053-233-6600,053-359-1671
